Bin,Age,FeH,Xkpc,Ykpc,Zkpc,Rkpc,Th,XRelkpc,YRelkpc,ZRelkpc,RRelkpc,Galb,Gall,ID,UID,time,event,semiMajor,eccentricity,type1,mass1,radius1,Teff1,massHeCore1,type2,mass2,radius2,Teff2,massHeCore2,RDonorRSun,qSet,aRLORSun,PSetDWDFormHours,PSetRLOHours,TGWMyrSetTot,aLISABandRSun,TGWMyrToLISABandSet,TGWMyrLISABandToRLOSet,AbsTimeToLISAMyr,AbsTimeToLISAEndMyr,SubBinAbsID,SubBinLocalID,BinID,SubBinMidAge,SubBinDeltaT,SubBinNDWDsCode,SubBinNDWDsReal,ATodayRSun,PSetTodayHours
1.0,93.75,0.028819567300118677,-0.835736144526747,0.3657193956010666,-0.04986507698898914,0.9122530238849534,1.1018783787931268,-9.035736144526746,0.3657193956010666,-0.02486507698898914,9.043168505666559,-0.002749601348764834,3.101139958010882,83296,83296,52.338299274384475,42.0,1.0703431698297123,0.0,22.0,1.274397668642375,0.004643960991709098,60598.5777030018,1.274397668642375,23.0,1.3697056946827835,98.98286653055075,6446.776896568635,1.3697056946827835,0.004931693737609756,0.9304171498954881,0.013232562627394931,1.8932148590101896,0.0026024433135842058,42.7134064015306,2.1938559210266795,0.0,42.71340540372055,52.338299274384475,95.05170467810503,2.0,2.0,0.0,93.75,37.5,20.0,634.3863480267682,0.44720864438256874,0.5113056901792984
2.0,315.2777777777778,0.08150258841457131,1.4669512736019377,-0.5887508070946157,-0.13240596031734428,1.5806876832495749,1.1018783787931268,-6.733048726398062,-0.5887508070946157,-0.10740596031734428,6.759593826940847,-0.015890079064631562,3.228812742137676,559640,559640,253.61280962503562,12.0,0.9183442456967154,0.0,23.0,1.332072120109272,0.002496711743120643,32002.208578261132,1.332072120109272,22.0,0.6403217424597017,0.012245820695337289,114826.76861532743,0.6403217424597017,0.012179976544561464,0.4806960019605959,0.038347695613601414,1.7420715888650513,0.014865059148042392,63.50166378469993,1.98966445008019,0.0,63.501470712318266,253.61280962503562,317.1142803373539,7.0,3.0,1.0,315.2777777777778,47.22222222222222,306.0,11295.857052388365,0.37872025351098193,0.4613553182911976
2.0,315.2777777777778,0.0444689085117422,-5.248514293241255,-2.9681289410589833,-0.031113608270024698,6.029651042731219,1.1018783787931268,-13.448514293241255,-2.9681289410589833,-0.006113608270024697,13.772158998591047,-0.00044391068033981123,3.3588135108720074,14168,14168,272.78109324353284,12.0,0.7154243091454484,0.0,22.0,0.9511709157794273,0.008605892707226058,18125.61418382541,0.9511709157794273,22.0,0.6089501059935404,0.012658149714557499,111531.5769711287,0.6089501059935404,0.012579080638779133,0.6402110240035488,0.036884632371848004,1.3468553335694804,0.015766801501950065,43.54506144557749,1.8400716001775226,0.0,43.54475378916369,272.78109324353284,316.3258470326965,7.0,3.0,1.0,315.2777777777778,47.22222222222222,306.0,11295.857052388365,0.2818112509871407,0.3329759778356813
2.0,315.2777777777778,0.04835178312017614,-1.3260369242749002,5.660496798591886,0.025740470175157692,5.813742162446614,1.1018783787931268,-9.5260369242749,5.660496798591886,0.05074047017515769,11.081027844240415,0.004579056041350556,2.6054390248953485,14168,14168,272.78109324353284,12.0,0.7154243091454484,0.0,22.0,0.9511709157794273,0.008605892707226058,18125.61418382541,0.9511709157794273,22.0,0.6089501059935404,0.012658149714557499,111531.5769711287,0.6089501059935404,0.012579080638779133,0.6402110240035488,0.036884632371848004,1.3468553335694804,0.015766801501950065,43.54506144557749,1.8400716001775226,0.0,43.54475378916369,272.78109324353284,316.3258470326965,7.0,3.0,1.0,315.2777777777778,47.22222222222222,306.0,11295.857052388365,0.2818112509871407,0.3329759778356813
2.0,362.5,0.06510639888367507,8.461485751471798,-0.012020460558279262,0.02271251918370342,8.461494289653116,1.1018783787931268,0.261485751471799,-0.012020460558279262,0.04771251918370342,0.26607475299558175,0.18029518268107814,6.237247798578156,472009,472009,242.7272043461277,11.0,0.9253195596746272,0.0,22.0,0.680236533790148,0.011739732517997717,119062.06662003376,0.680236533790148,22.0,0.8639053043835736,0.009583696992560044,27639.30801793721,0.8639053043835736,0.011690149766910308,0.7873971028289036,0.03261545589379827,1.9913544745463414,0.013177897967140521,121.34905093252657,1.8337678582199959,0.0,121.3488636215502,242.7272043461277,364.0760679676779,8.0,4.0,1.0,362.5,47.22222222222222,341.0,12587.866845962199,0.3123843620493207,0.390611376564095
2.0,362.5,0.06605878304189411,-3.905926895796628,-12.03616590260464,0.13033098978424118,12.654072646793603,1.1018783787931268,-12.105926895796628,-12.03616590260464,0.15533098978424117,17.071815467541292,0.009098805769320333,3.9241012249534304,458089,458089,285.81886878186816,12.0,0.8441292727557139,0.0,22.0,1.0187458674710383,0.007846440546295989,17740.5113362537,1.0187458674710383,22.0,0.5967790348042065,0.012822079934385942,110258.398141433,0.5967790348042065,0.012737714676017968,0.5857977478580272,0.03817192246246047,1.6963332263134827,0.016312246541904104,77.64714064796019,1.8616006065330728,0.0,77.64681596032104,285.81886878186816,363.4656847421892,8.0,4.0,1.0,362.5,47.22222222222222,341.0,12587.866845962199,0.28191808430038423,0.3274026050469614
2.0,362.5,0.07089988326835545,5.836120639141156,0.03752965328620482,-0.0645413055821632,5.836241306653209,1.1018783787931268,-2.363879360858843,0.03752965328620482,-0.0395413055821632,2.3645079028028935,-0.016723627248429403,3.1257176892483653,391580,391580,315.69217787058903,12.0,0.7081996408954541,0.0,22.0,0.8788035718909913,0.00941602633181549,17376.36727154259,0.8788035718909913,22.0,0.5741895832219012,0.01313288043886801,107899.97929322302,0.5741895832219012,0.013038532027827768,0.6533764786439954,0.03804292229729935,1.3745366518152047,0.017113292633658225,51.53411420383244,1.7969520243385342,0.0,51.53368509496658,315.69217787058903,367.2258629655556,8.0,4.0,1.0,362.5,47.22222222222222,341.0,12587.866845962199,0.38972847441584924,0.5611332163884991
2.0,362.5,0.041546847730852335,-0.6205497891106276,-0.23608457172923883,0.17458150368627512,0.6639412366872708,1.1018783787931268,-8.820549789110627,-0.23608457172923883,0.1995815036862751,8.825965515670328,0.022614921449349443,3.168351554804765,458089,458089,285.81886878186816,12.0,0.8441292727557139,0.0,22.0,1.0187458674710383,0.007846440546295989,17740.5113362537,1.0187458674710383,22.0,0.5967790348042065,0.012822079934385942,110258.398141433,0.5967790348042065,0.012737714676017968,0.5857977478580272,0.03817192246246047,1.6963332263134827,0.016312246541904104,77.64714064796019,1.8616006065330728,0.0,77.64681596032104,285.81886878186816,363.4656847421892,8.0,4.0,1.0,362.5,47.22222222222222,341.0,12587.866845962199,0.28191808430038423,0.3274026050469614
2.0,362.5,0.12107075133405915,2.7244361450158325,-1.9744207545173162,-0.07941581402145013,3.3646529723193535,1.1018783787931268,-5.475563854984166,-1.9744207545173162,-0.05441581402145013,5.820918993311401,-0.009348456264612762,3.487668373455939,472009,472009,242.7272043461277,11.0,0.9253195596746272,0.0,22.0,0.680236533790148,0.011739732517997717,119062.06662003376,0.680236533790148,22.0,0.8639053043835736,0.009583696992560044,27639.30801793721,0.8639053043835736,0.011690149766910308,0.7873971028289036,0.03261545589379827,1.9913544745463414,0.013177897967140521,121.34905093252657,1.8337678582199959,0.0,121.3488636215502,242.7272043461277,364.0760679676779,8.0,4.0,1.0,362.5,47.22222222222222,341.0,12587.866845962199,0.3123843620493207,0.390611376564095
2.0,456.94444444444446,-0.019163120323696596,-10.153866313792205,2.9867793325440384,-0.3153411954563199,10.584037599124274,1.1018783787931268,-18.353866313792203,2.9867793325440384,-0.29034119545631987,18.597568589889576,-0.015612416718945924,2.9802737727260458,340930,340930,404.35840256454514,12.0,0.7070239381026467,0.0,22.0,0.9322099208994088,0.008817898740112236,14705.200830841,0.9322099208994088,22.0,0.5192616732170766,0.013929936974329286,102166.73641081728,0.5192616732170766,0.013810001690382687,0.5570222560129867,0.04190416721191936,1.3718336843988552,0.01979411578163237,53.42083116344806,1.7963245547461795,0.0,53.420171984962465,404.35840256454514,457.7785745495076,10.0,6.0,1.0,456.94444444444446,47.22222222222222,428.0,15799.434047131439,0.24997735834115148,0.2884040113526103
