ID,UID,time,event,semiMajor,eccentricity,type1,mass1,radius1,Teff1,massHeCore1,type2,mass2,radius2,Teff2,massHeCore2,porb
23,23,11250.449047691844,43.0,0.33924557654721593,0.0,21.0,0.20062404838270606,0.021367092154359377,3997.4803432663216,0.20062404838270606,21.0,0.24527428085575378,11.608066877570685,4548.494528832448,0.24527428085575378,0.03427590662057203
57,57,4632.891688605722,42.0,1.3576241104383437,0.0,22.0,0.5216808672795226,0.013893435656565138,5842.308172253411,0.5216808672795226,21.0,0.2821204533454006,19.236667008704252,4358.695767752467,0.2821204533454006,0.20437630292351783
80,80,3458.1205038743246,42.0,0.5823026553648737,0.0,22.0,0.5327310900271162,0.013728459470414326,5675.618457265361,0.5327310900271162,21.0,0.2409845412880435,10.41462091715644,4676.615384095148,0.2409845412880435,0.058515113736802286
161,161,1898.9798608393905,42.0,1.5531863431428843,0.0,22.0,0.5943984638165307,0.012854422637766167,9624.357735579702,0.5943984638165307,21.0,0.32106552276152434,29.63150955621723,4263.666529551725,0.32106552276152434,0.2343420883745782
162,162,5830.682271176012,43.0,0.4785303256564857,0.0,21.0,0.42865086621827153,0.015416992497816143,7321.032177170519,0.42865086621827153,21.0,0.22545842558382614,8.497692311350313,4685.09945834003,0.22545842558382614,0.04741050943427274
175,175,5913.451822123931,42.0,0.716817121403264,0.0,22.0,0.5971267475531805,0.012817363665517919,4524.865395258915,0.5971267475531805,21.0,0.22914464549928626,9.02286571041253,4658.669851015151,0.22914464549928626,0.0773369035744798
203,203,3170.5521888377325,42.0,0.6407264208311904,0.0,23.0,1.26315995303061,0.003950788466711048,11320.2466633707,1.26315995303061,21.0,0.20584353326679458,5.885733175853158,4911.059181623004,0.20584353326679458,0.04901546410936273
248,248,9792.839452647755,42.0,0.7352287523347796,0.0,22.0,0.5570517048166764,0.013374862281975222,3713.2316829098404,0.5570517048166764,21.0,0.2195208626015822,8.019733542093638,4633.437852246177,0.2195208626015822,0.08286636421681617
262,262,7515.084548690139,43.0,1.2365503836162102,0.0,21.0,0.4661301567134108,0.01477067688801714,7188.841574719094,0.4661301567134108,21.0,0.2662842490614789,15.99189839205255,4383.669638527732,0.2662842490614789,0.18611221121953186
405,405,7111.206424044013,42.0,0.7156590958575374,0.0,22.0,0.5298590908899776,0.013771065974243605,4141.2762053993665,0.5298590908899776,21.0,0.22978851418221538,9.23743859606337,4623.664399818346,0.22978851418221538,0.08046162324227975
437,437,11583.595039264108,32.0,0.033683343615367414,0.0,23.0,1.2105892775450469,0.004808829198233256,4977.860369070205,1.2105892775450469,22.0,0.7174030216915936,0.011283983996546816,2904.1137418903777,0.7174030216915936,0.000515710209581029
464,464,4910.523331068414,43.0,0.3836475774507748,0.0,21.0,0.431222895131055,0.015370989327242015,7382.6671775958885,0.431222895131055,21.0,0.21860833493523193,7.516125223104627,4756.337699454327,0.21860833493523193,0.03414553988632047
467,467,7044.04646521025,42.0,1.0085691049803065,0.0,22.0,0.6607408546558986,0.011984552158546316,4468.027049914845,0.6607408546558986,21.0,0.23704515479440935,10.336542729774807,4579.610926368978,0.23704515479440935,0.12382480628862047
527,527,1799.785207497126,42.0,0.8586968049585196,0.0,22.0,0.8117303788533341,0.010176340680208739,7797.141895407607,0.8117303788533341,21.0,0.26361856403131934,13.808502970948377,4646.867583576338,0.26361856403131934,0.08888339761571243
586,586,11428.326621429054,42.0,0.4587812054959349,0.0,22.0,0.6783662501528864,0.011763035122325509,2978.6290522073373,0.6783662501528864,21.0,0.18335578461529306,4.3464218346626255,4804.47123808717,0.18335578461529306,0.03877576827531494
