ID,UID,time,event,semiMajor,eccentricity,type1,mass1,radius1,Teff1,massHeCore1,type2,mass2,radius2,Teff2,massHeCore2,porb
565017,565017,13700.0,81.0,1.7724209567710958,0.0,22.0,0.7694229479095251,0.0106659420365736,2356.421401312635,0.7694229479095251,22.0,0.5686733179007063,0.0132101584221577,2110.26938065507,0.5686733179007063,0.236288300375896
100760,100760,13700.0,81.0,1.6559436243753456,0.0,22.0,0.6154703795337165,0.0125712777242784,2340.7737989820525,0.6154703795337165,21.0,0.3141139563473895,0.0178055419853372,3277.055007913393,0.3141139563473895,0.2560115186322278
484808,484808,13700.0,81.0,1.7384372688215537,0.0,22.0,0.779485364284888,0.01054857865189,2370.585106466098,0.779485364284888,22.0,0.5903509576241076,0.0129096287186201,2109.1346155712604,0.5903509576241076,0.2268505205643761
147764,147764,13679.592337942546,43.0,0.5372436088046197,0.0,21.0,0.3825963755296962,0.0162891962727143,5904.930481625926,0.3825963755296962,21.0,0.2137727948143164,7.459635948499609,4616.78283897605,0.2137727948143164,0.0590656350409508
220897,220897,13700.0,81.0,1.6192733469574916,0.0,22.0,0.6033513421802834,0.0127332664069853,2362.761373442189,0.6033513421802834,21.0,0.3297310588367192,0.0174311518307554,2962.6744254220853,0.3297310588367192,0.2470903788796408
519450,519450,13700.0,81.0,1.864050606528556,0.0,22.0,0.5523937411908831,0.0134416242113027,2555.756477452312,0.5523937411908831,21.0,0.2927853199312688,0.0183506883064235,4287.077851969822,0.2927853199312688,0.3206621991418905
364135,364135,13700.0,81.0,1.6176008794611236,0.0,22.0,0.602373213086061,0.012746440234068,2367.0649824882616,0.602373213086061,21.0,0.3320686917823622,0.0173767420048943,2930.5458109834285,0.3320686917823622,0.2465281358176345
403926,403926,13700.0,81.0,1.04566353675877,0.0,22.0,1.0997383301897217,0.0069130752183353,3091.5503598550454,1.0997383301897217,21.0,0.2853724491784757,0.0185504193175091,3061.8485689722943,0.2853724491784757,0.1052401054772223
44486,44486,13533.342024645584,42.0,1.056395920708226,0.0,22.0,0.5324695688604012,0.0137323314259022,2343.834630548777,0.5324695688604012,21.0,0.2320118783822756,10.012288588352837,4505.7621413266825,0.2320118783822756,0.1438441424016646
258621,258621,13700.0,81.0,1.7129414685725135,0.0,22.0,0.6424889266047574,0.012217839938661,2260.762848607113,0.6424889266047574,21.0,0.3588006924231288,0.0167816711003909,2672.8590128464525,0.3588006924231288,0.2595192105153105
609031,609031,13700.0,81.0,1.9087373021902656,0.0,22.0,0.6440070052452731,0.0121982763635383,2259.4429560972126,0.6440070052452731,21.0,0.2927979283578088,0.0183503533570512,4116.850754088329,0.2927979283578088,0.3155950915252925
586690,586690,13700.0,81.0,1.4321575576274226,0.0,22.0,0.6162527446288375,0.012560897035683,2369.732892259829,0.6162527446288375,21.0,0.3381097391858765,0.0172379869597666,2800.573623576805,0.3381097391858765,0.2032193708565094
284082,284082,13700.0,81.0,1.9006693775620365,0.0,22.0,0.6071368783985384,0.0126824235966571,2349.7202117192314,0.6071368783985384,21.0,0.2935967040742225,0.0183291657511405,4168.898505766805,0.2935967040742225,0.3198138533952964
136240,136240,13700.0,81.0,1.6141455100380524,0.0,22.0,0.7607440593502482,0.0107676859139236,2344.4643502962304,0.7607440593502482,21.0,0.2765125292377055,0.018796824524684,4064.558697415373,0.2765125292377055,0.2332418651871496
298747,298747,13700.0,81.0,1.8179720335560965,0.0,22.0,0.6248058544526088,0.0124479974408453,2325.0894702001883,0.6248058544526088,21.0,0.3549391876919758,0.0168647240697532,2733.589369352056,0.3549391876919758,0.286853295100801
151870,151870,13674.712485398764,42.0,1.7591382793734274,0.0,22.0,0.5146083092475842,0.0140005474942069,3324.9907406072075,0.5146083092475842,21.0,0.261992722533393,15.711106307290503,4316.185179347573,0.261992722533393,0.3066807878051955
620820,620820,13700.0,81.0,1.9869526074363395,0.0,22.0,0.7163007177815431,0.0112973134837884,2296.3969134332133,0.7163007177815431,21.0,0.2620905489953505,0.0192174514022719,5122.209438518893,0.2620905489953505,0.3279899692993643
13605,13605,13700.0,81.0,1.9326202452652057,0.0,22.0,0.7252837787359745,0.0111889934097002,2305.6423562613195,0.7252837787359745,22.0,0.5721400716799953,0.0131615263483228,2112.299294704935,0.5721400716799953,0.2732212233760975
267269,267269,13617.077832811152,42.0,0.7501895174626324,0.0,22.0,0.5468011942746828,0.0135223681440968,2185.200995439457,0.5468011942746828,21.0,0.2127701512050361,7.344176274193363,4620.23555695363,0.2127701512050361,0.0863590356148991
315161,315161,13700.0,81.0,1.899367886134238,0.0,22.0,0.5398819022358435,0.0136231793757126,2212.4381779905702,0.5398819022358435,22.0,0.5312228851536586,0.0137508105072897,2193.8254787976557,0.5312228851536586,0.2929768054203187
345499,345499,13700.0,81.0,1.8718139787383328,0.0,22.0,0.5604140900944155,0.0133269394865824,2526.610750989387,0.5604140900944155,21.0,0.306287561642473,0.0180007667546314,4104.305138797136,0.306287561642473,0.3186359698855112
534876,534876,13700.0,81.0,1.1302130008647335,0.0,22.0,0.6291423785218491,0.0123911570753607,2276.4504290394198,0.6291423785218491,21.0,0.3548442361400551,0.016866778004236,2651.067801577891,0.3548442361400551,0.1403076775057802
213497,213497,13700.0,81.0,1.9295037354710824,0.0,22.0,0.7322083706097154,0.0111059586878495,2312.368728826041,0.7322083706097154,21.0,0.3395324939327857,0.0172056880685347,2740.1953851739927,0.3395324939327857,0.2998880246710068
