NormCSet,BinMasses,BinMassFractions
74344779.51786934,567971748.4861426,0.008833153164636743
336773463.1903178,2974494541.8283353,0.0462596351761794
272011771.2940035,3361704113.394334,0.05228155697347331
186950893.02067238,3394842747.922054,0.05279693231605061
320682852.3676799,7355725194.725238,0.11439697036897727
329677270.64631826,8529020765.717053,0.1326441798711828
612048966.0189549,15955233319.85053,0.24813737666952615
7376314.415131405,14401007568.076311,0.22396590308050252
47008.50798313824,1400000000.0,0.02177293934681182
1200929932.575785,6360000000.0,0.09891135303265941
